title,description,answer,type,category,priority,language,tag
Schedule missing shifts for Nora Roger...,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Times & Attendance,medium,en,PDFExport
"Kiosk PIN rejected for Marco Garcia  Steps tried: reinstall, toggled airplane mode, switched networks.","Employee Marco Garcia (ID EMP53353) reports clock-in problem at Plant 3 - Dock. Phone +1-579-400-4853, email marcogarcia25@fabrikam.org. GPS 44.069243,-79.655317. Issue started after update this morning. Manager Aarav Edwards unable to appprove. Timesheet shows 10h instead of 9h. Device iPad Mini (OS iOS 16.7), appp v9.1.4, network Wi-Fi. Error code APP-5001. Ref:8-844","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Times & Attendance,medium,en,MFA
Clock-in failed for Marco Brown at Warehouse A,"Employee Marco Brown (ID EMP39341) reports clock-in problem at Warehouse A. Phone +1-212-529-2203, email marcobrown140@example.com. GPS 43.808472,-79.577049. Issue started after update this morning. Manager Evelyn Garcia unable to approve. Timesheet shows 8.5h instead of 9.0h. Device iPhone 12 (OS Android 14), app v10.3.2, network Wi-Fi. Error code E_TIMEOUT. Ref:59-265","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,high,en,Schedule
Overtime calculation apppears off for Marta Lee,"Employee Marta Lee (ID EMP63791) reports clock-in problem at Clinic North. Phone +1-676-924-2017, email martalee595@sample.io. GPS 43.834311,-79.105159. Issue started during night shift. Manager Sophia Cook unable to approve. Timesheet shows 8h instead of 10h. Device OnePlus 10 (OS Android 13), app v10.1.6, network Wi-Fi. Error code APP-5001. Ref:561-366",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Problem,Times & Attendance,low,en,Crash
Shift swap request not visible for team  Note: intermittent; occurs when switching from Wi-Fi to LTE.,"Employee Luca Adams (ID EMP47327) reports clock-in problem at Retail Store #214. Phone +1-424-843-1161, email lucaadams136@mailinator.com. GPS 43.80313,-79.242059. Issue started today 08:15. Manager Lucas Bell unable to appprove. Timesheet shows 7.5h instead of 8.5h. Device Pixel 7 (OS iOS 16.7), appp v9.2.6, network Wi-Fi. Error code CRASH-09. Ref:1645-998","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Problem,Times & Attendance,low,en,Session
Overtime calculation apppears off for Grace Morris,Employee Grace Morris (ID EMP44943) reports clock-in problem at...,Expanded geofence radius to 200m & updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,medium,en,DevicePolicy
Profile picture upload fails," User Isabella Brown experienced an application crash on Pixel 7 (OS Android 14) when opening the Punch screen. Email isabellabrown825@fabrikam.org / phone +1-360-851-4347. After MFA code 638186, the screen froze. Build v10.6.0, network LTE. Logs show error code APP-5001. Occurred end of quarter. Ref:1114-576   ",Corrected pay policy rule for overtime after 40h; retro calculation queued & will reflect before payroll cutoff.,Request,Mobile App & UI issues,medium,en,Kiosk
Clock-in failed for Isabella Wright at Clinic North...," Employee Isabella Wright (ID EMP81619) reports clock-in problem at Clinic North. Phone +1-424-871-7074, email isabellawright421@contoso.com. GPS 43.664066,-79.600929. Issue started after update this morning. Manager Hannah Hall unable to approve. Timesheet shows 10h instead of 11h. Device iPad Mini (OS Android 13), app v10.1.9, network 5G. Error code PUNCH-403. Ref:1531-168   ",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Times & Attendance,low,en,Biometric
Timesheet not updating hours for Luca Hill,"Employee Luca Hill (ID EMP82990) reports clock-in problem at HQ Toronto. Phone +1-324-275-6695, email lucahill400@acme.test. GPS 43.919908,-79.29227. Issue started since last Friday. Manager Logan Taylor unable to approve. Timesheet shows 8.5h instead of 10.5h. Device OnePlus 10 (OS Android 14), app v9.1.9, network Wi-Fi. Error code CRASH-09. Ref:1922-130",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Problem,Times & Attendance,low,en,Overtime
Login loop after MFA for Evelyn Lee,"User Evelyn Lee experienced an application crash on Samsung Galaxy S22 (OS Android 13) when opening teh Login screen. Email evelynlee554@mailinator.com / phone +1-340-587-9952. After MFA code 432348, teh screen froze. Build v7.3.2, network LTE. Logs show error code AUTH-401-MFA. Occurred during night shift. Ref:1188-331",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Mobile App & UI issues,low,en,Overtime
Kiosk PIN rejected for Isha Smith,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Request,Times & Attendance,medium,en,Cache
Push notifications missing for Hannah Phillips,"User Hannah Phillips experienced an application crash on iPhone 14 Pro (OS iPadOS 17.4) when opening teh Approvals screen. Email hannahphillips857@fabrikam.org / phone +1-354-475-9787. After MFA code 785900, teh screen froze. Build v10.3.0, network Corporate VPN. Logs show error code PUNCH-403. Occurred around lunch break. Ref:804-976  Observed that sync completes after 10–15 min then reverts.",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Mobile App & UI issues,low,en,Geofence
Clock-in failed for Logan Scott at Distribution East  Observed that sync completes after 10–15 min then reverts.,"Employee Logan Scott (ID EMP55844) reports clock-in problem at Distribution East. Phone +1-577-892-4821, email loganscott264@fabrikam.org. GPS 43.967851,-79.621741. Issue started after daylight saving change. Manager Ana Green unable to approve. Timesheet shows 8.5h instead of 10.5h. Device Pixel 7 (OS Android 13), app v10.5.8, network Corporate VPN. Error code PUNCH-403. Ref:1281-161",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Request,Times & Attendance,low,en,ManagerApproval
Wallet screen blank after update,"User Ava Young experienced an application crash on Pixel 7 (OS Android 13) when opening the Settings screen. Email avayoung803@demo.co / phone +1-951-757-9555. After MFA code 353214, the screen froze. Build v8.5.1, network Corporate VPN. Logs show error code SYNC-409. Occurred during night shift. Ref:1995-292",Reset session token & invalidated stale refresh token; please sign out/in & confirm timesheet sync in 10 minutes.,Request,Mobile App & UI issues,medium,en,Geofence
Shift swap request not visible for team,"Employee Sophia Gonzalez (ID EMP63185) reports clock-in problem at Office NYC. Phone +1-483-933-7392, email sophiagonzalez889@fabrikam.org. GPS 43.676631,-79.222089. Issue started after daylight saving change. Manager Avery Smith unable to approve. Timesheet shows 7.5h instead of 8.5h. Device Galaxy A54 (OS iPadOS 17.4), app v8.9.1, network 5G. Error code PUNCH-403. Ref:1937-390",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Question,Times & Attendance,low,en,TimeOff
Buttons overlap on small screen — UI layout bug  Observed that sync completes after 10–15 min then reverts.,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Mobile App & UI issues,medium,en,DevicePolicy
Punch recorded twice for Arjun White...,"Employee Arjun White (ID EMP29847) reports clock-in problem at Warehouse A. Phone +1-252-226-2544, email arjunwhite670@sample.io. GPS 44.190623,-79.370494. Issue started since last Friday. Manager Isabella Morris unable to approve. Timesheet shows 10h instead of 10.5h. Device Samsung Galaxy S22 (OS iOS 16.7), app v9.5.9, network Wi-Fi. Error code CRASH-09. Ref:1021-281  Impact: affects payroll cutoff if not resolved before Friday.","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Times & Attendance,high,en,Wallet
Punch recorded twice for Felix Davis,Employee Felix Davis (ID EMP24559) reports clock-in problem at Retail Store...,Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Request,Times & Attendance,low,en,UI-Bug
Timesheet not updating hours for Avery Carter,"Employee Avery Carter (ID EMP52419) reports clock-in problem at Retail Store #214. Phone +1-295-737-7884, email averycarter19@demo.co. GPS 43.60718,-79.402699. Issue started after daylight saving change. Manager Charlotte Miller unable to appprove. Timesheet shows 10h instead of 12h. Device iPad Mini (OS iPadOS 17.4), appp v8.1.7, network Wi-Fi. Error code E_TIMEOUT. Ref:1592-495  Impact: affects payroll cutoff if not resolved before Friday.",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Times & Attendance,low,en,Schedule
Wallet screen blank after update,User Luca Nelson experienced an application cr...,"Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Problem,Mobile App & UI issues,high,en,PDFExport
Push notifications missing for Charlotte Phillips,"User Charlotte Phillips experienced an appplication crash on Galaxy A54 (OS Android 13) when opening the Schedule screen. Email charlottephillips646@acme.test / phone +1-389-735-9961. After MFA code 690242, the screen froze. Build v7.2.9, network LTE. Logs show error code E_TIMEOUT. Occurred during night shift. Ref:190-722","Enabled background refresh & pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Mobile App & UI issues,low,en,Schedule
Clock-in failed for Ana Adams at Distribution East,"Employee Ana Adams (ID EMP37660) reports clock-in problem at Distribution East. Phone +1-829-924-2681, email anaadams556@demo.co. GPS 43.735701,-79.205713. Issue started since last Friday. Manager Sophia King unable to approve. Timesheet shows 7.5h instead of 8.5h. Device Pixel 8 (OS iOS 16.7), app v7.2.6, network 5G. Error code E_TIMEOUT. Ref:1077-939",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Question,Times & Attendance,low,en,Geofence
Geofencing blocks punch at HQ Toronto...,"Employee Mia Thomas (ID EMP24861) reports clock-in problem at HQ Toronto. Phone +1-979-334-4846, email miathomas833@demo.co. GPS 44.141689,-79.541193. Issue started around lunch break. Manager Elijah Morgan unable to approve. Timesheet shows 9h instead of 9.5h. Device Pixel 8 (OS Android 14), app v9.8.2, network 5G. Error code NPE-UI-22. Ref:745-229",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Problem,Times & Attendance,low,en,Sync
Timesheet not updating hours for Neha Hall...,Employee Neha Hall (ID EMP27014) reports clock-in pr...,Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Times & Attendance,low,en,Cache
Login loop after MFA for Emma Young,User Emma Young experienced an application crash on Galaxy A54 (OS iPadOS 17.4) when opening th...,Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Mobile App & UI issues,medium,en,ManagerApproval
Kiosk PIN rejected for Grace Hill," Employee Grace Hill (ID EMP97166) reports clock-in problem at Plant 3 - Dock. Phone +1-956-345-3619, email gracehill638@acme.test. GPS 43.612528,-79.102096. Issue started after update this morning. Manager Neha Turner unable to approve. Timesheet shows 7.5h instead of 6.5h. Device Pixel 7 (OS Android 14), app v9.9.9, network 5G. Error code PUNCH-403. Ref:152-279   ",Re-enabled push notifications at OS level & refreshed device token; test a sample alert from Notifications Center.,Request,Times & Attendance,low,en,Schedule
Kiosk PIN rejected for Ava Wright,"Employee Ava Wright (ID EMP96842) reports clock-in problem at Distribution East. Phone +1-841-767-7941, email avawright683@acme.test. GPS 44.090556,-79.503304. Issue started around lunch break. Manager Mia Gonzalez unable to approve. Timesheet shows 10h instead of 11h. Device Pixel 8 (OS iOS 16.7), app v7.4.4, network LTE. Error code E_TIMEOUT. Ref:17-354",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,low,en,Biometric
Push notifications missing for Daniel Martin,"User Daniel Martin experienced an application crash on Samsung Galaxy S22 (OS Android 13) when opening the Login screen. Email danielmartin575@sample.io / phone +1-212-389-5334. After MFA code 220345, the screen froze. Build v9.3.2, network 5G. Logs show error code CRASH-09. Occurred since last Friday. Ref:216-518",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Mobile App & UI issues,low,en,Timesheet
Timesheet not updating hours for Felix Jackson  Note: intermittent; occurs when switching from Wi-Fi to LTE.,"Employee Felix Jackson (ID EMP32022) reports clock-in problem at Warehouse A. Phone +1-819-324-2743, email felixjackson773@mailinator.com. GPS 43.727131,-79.26836. Issue started end of quarter. Manager Emily Roberts unable to approve. Timesheet shows 8h instead of 8.5h. Device iPhone 14 Pro (OS iOS 16.7), app v9.8.8, network Wi-Fi. Error code E_TIMEOUT. Ref:1799-664",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Request,Times & Attendance,high,en,Crash
Kiosk PIN rejected for Layla Evans,"Employee Layla Evans (ID EMP68152) reports clock-in problem at HQ Toronto. Phone +1-875-601-8913, email laylaevans98@sample.io. GPS 44.047025,-79.203152. Issue started today 08:15. Manager Emily Perez unable to approve. Timesheet shows 7.5h instead of 8.0h. Device iPad Mini (OS Android 14), app v7.6.7, network Wi-Fi. Error code AUTH-401-MFA. Ref:242-799  Impact: affects payroll cutoff if not resolved before Friday.",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Request,Times & Attendance,medium,en,ShiftSwap
Timesheet not updating hours for Leo Wilson,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.",Cleared appp cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Times & Attendance,medium,en,Overtime
Slow loading of schedule on 5G,"User Marta White experienced an application crash on iPhone 12 (OS iPadOS 17.4) when opening the Approvals screen. Email martawhite548@example.com / phone +1-639-480-6501. After MFA code 542243, the screen froze. Build v10.6.5, network 5G. Logs show err0r code HTTP 504. Occurred yesterday 17:40. Ref:1773-105",Cleared app cache & forced a re-sync; verify location services & try again near site perimeter.,Request,Mobile App & UI issues,medium,en,UI-Bug
Kiosk PIN rejected for Aiden White,"Employee Aiden White (ID EMP52451) reports clock-in problem at HQ Toronto. Phone +1-465-754-3303, email aidenwhite966@fabrikam.org. GPS 43.812214,-79.632479. Issue started end of quarter. Manager Henry Martin unable to approve. Timesheet shows 9h instead of 9.5h. Device iPhone 14 Pro (OS iPadOS 17.4), app v9.7.5, network Corporate VPN. Error code E_TIMEOUT. Ref:1031-544",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Problem,Times & Attendance,low,en,Accessibility
Timesheet not updating hours for Felix Edwards,"Employee Felix Edwards (ID EMP28754) reports clock-in problem at Distribution East. Phone +1-469-200-8611, email felixedwards331@mailinator.com. GPS 43.646702,-79.674045. Issue started since last Friday. Manager Marco Nelson unable to approve. Timesheet shows 10h instead of 11h. Device OnePlus 10 (OS Android 14), app v7.2.8, network 5G. Error code HTTP 504. Ref:1336-468",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,low,en,Session
Profile picture upload fails,User Amelia Perez experienced an applicat...,Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Mobile App & UI issues,medium,en,Login
Slow loading of schedule on LTE,"User Sofia Sanchez experienced an application crash on Samsung Galaxy S22 (OS iPadOS 17.4) when opening the Approvals screen. Email sofiasanchez676@fabrikam.org / phone +1-879-656-8159. After MFA code 743355, the screen froze. Build v7.3.9, network LTE. Logs show error code SYNC-409. Occurred yesterday 17:40. Ref:625-437  Note: intermittent; occurs when switching from Wi-Fi to LTE.",Reset session token & invalidated stale refresh token; please sign out/in & confirm timesheet sync in 10 minutes.,Problem,Mobile App & UI issues,low,en,MFA
Kiosk PIN rejected for Marta Morgan,"Employee Marta Morgan (ID EMP33157) reports clock-in problem at Call Center West. Phone +1-764-517-8011, email martamorgan638@sample.io. GPS 44.052082,-79.302762. Issue started yesterday 17:40. Manager Zoe Stewart unable to approve. Timesheet shows 8h instead of 9h. Device iPhone 12 (OS Android 13), app v10.2.9, network Wi-Fi. Error code PUNCH-403. Ref:100-112",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,low,en,Session
Kiosk PIN rejected for Marta White,Employee Marta White (ID EMP68416) reports clock-i...,Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Times & Attendance,medium,en,Geofence
App crashes on launch for Liam Miller (Galaxy A54)," User Liam Miller experienced an appplication crash on Galaxy A54 (OS iOS 16.7) when opening the Punch screen. Email liammiller622@acme.test / phone +1-387-845-6000. After MFA code 985194, the screen froze. Build v10.2.5, network 5G. Logs show error code NPE-UI-22. Occurred since last Friday. Ref:1143-677   ",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Mobile App & UI issues,low,en,Timesheet
Kiosk PIN rejected for Evelyn Turner,"Employee Evelyn Turner (ID EMP81901) reports clock-in problem at Warehouse A. Phone +1-340-571-6799, email evelynturner264@contoso.com. GPS 43.69939,-79.67006. Issue started since last Friday. Manager Luca Morgan unable to approve. Timesheet shows 7.5h instead of 8.5h. Device iPhone 14 Pro (OS Android 13), app v7.7.6, network LTE. Error code AUTH-401-MFA. Ref:463-933",Corrected pay policy rule for overtime after 40h; retro calculation queued & will reflect before payroll cutoff.,Incident,Times & Attendance,low,en,PayrollCutoff
Overtime calculation appears off for Evelyn Wright  Additional context: user cleared cache and rebooted.,"Employee Evelyn Wright (ID EMP14482) reports clock-in problem at Office NYC. Phone +1-277-616-1702, email evelynwright589@contoso.com. GPS 43.677181,-79.478014. Issue started after daylight saving change. Manager Evelyn Hall unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iPadOS 17.4), app v8.4.1, network Wi-Fi. Error code SYNC-409. Ref:1792-298",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Problem,Times & Attendance,low,en,ShiftSwap
Overtime calculation appears off for Jia Baker  Observed that sync completes after 10–15 min then reverts.,"Employee Jia Baker (ID EMP28729) reports clock-in problem at Retail Store #214. Phone +1-376-428-5031, email jiabaker901@fabrikam.org. GPS 43.95703,-79.670923. Issue started since last Friday. Manager Grace Moore unable to approve. Timesheet shows 7.5h instead of 6.5h. Device Pixel 8 (OS iOS 16.7), app v9.1.4, network Wi-Fi. Error code HTTP 504. Ref:1343-263","Enabled background refresh & pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Times & Attendance,medium,en,Crash
"Geofencing blocks punch at Distribution East  Steps tried: reinstall, toggled airplane mode, switched networks.",Employee Diego Phillips (ID EMP66633) reports cl...,Cleared app cache & forced a re-sync; verify location services & try again near site perimeter.,Incident,Times & Attendance,high,en,Timezone
